beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Lunch,"Maine Beer Company","IPA - American",7,0,,,,,,,,4.75,"2021-03-30 20:31:22",https://api.untappd.com/c/1011504321,https://api.untappd.com/beer/49892,https://api.untappd.com/brewery/2874,"United States",Freeport,ME,,,Draft,1011504321,49892,2874,,4.16,4.16,,1,0
"Life in the Clouds","Collective Arts Brewing","IPA - New England / Hazy",6.1,0,,,,,,,,4,"2021-04-03 15:53:33",https://api.untappd.com/c/1013040646,https://api.untappd.com/beer/2429930,https://api.untappd.com/brewery/76841,Canada,Hamilton,ON,,,Can,1013040646,2429930,76841,https://untappd.s3.amazonaws.com/photos/2021_04_03/ffb5bb201d7513ef602d940fabb7c712_raw.jpg,3.89,3.89,,0,0
"Today's Special Amarillo","Grimm Artisanal Ales","Pale Ale - American",5.5,0,,,,,,,,3.5,"2021-04-03 15:53:59",https://api.untappd.com/c/1013041129,https://api.untappd.com/beer/4140517,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,Can,1013041129,4140517,72844,,3.83,3.79,,0,0
"Technological Nightmare","Finback Brewery","IPA - Imperial / Double",8.5,0,,,,,,,,4,"2021-04-03 15:54:16",https://api.untappd.com/c/1013041489,https://api.untappd.com/beer/4214110,https://api.untappd.com/brewery/52099,"United States",Queens,NY,,,Can,1013041489,4214110,52099,,4.27,4.15,,0,0
Ta-Dow,"Other Half Brewing Co.","IPA - Imperial / Double New England / Hazy",9.1,0,,,,,,,,3.75,"2021-04-06 11:53:53",https://api.untappd.com/c/1014100613,https://api.untappd.com/beer/3419576,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,Can,1014100613,3419576,94785,,4.24,4.2,,0,0
"Oom Pah","Grimm Artisanal Ales","IPA - American",6.5,0,,,,,,,,4.25,"2021-04-06 11:54:25",https://api.untappd.com/c/1014100655,https://api.untappd.com/beer/4222279,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,Can,1014100655,4222279,72844,,3.93,3.86,,0,0
"Maximum Intrigue","Grimm Artisanal Ales","IPA - Imperial / Double",8,0,,,,,,,,3.5,"2021-04-06 11:54:42",https://api.untappd.com/c/1014100686,https://api.untappd.com/beer/3577189,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,Can,1014100686,3577189,72844,,4.14,4.11,,0,0
Drained,"Other Half Brewing Co.","IPA - Imperial / Double",8,0,,,,,,,,4,"2021-04-06 11:55:00",https://api.untappd.com/c/1014100718,https://api.untappd.com/beer/4227030,https://api.untappd.com/brewery/94785,"United States",Brooklyn,NY,,,Can,1014100718,4227030,94785,,4.23,4.15,,0,1
Amorphia,"Hudson Valley Brewery","IPA - Sour",6,0,Whoa!,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4.75,"2021-04-09 10:34:55",https://api.untappd.com/c/1014836233,https://api.untappd.com/beer/2323952,https://api.untappd.com/brewery/169038,"United States",Beacon,NY,"strawberry,sour,creamy",,Can,1014836233,2323952,169038,,4.34,4.33,,0,0
"Comfort At All Costs","NS Beer","IPA - Imperial / Double New England / Hazy",7.5,0,,,,,,,,3.5,"2021-04-10 19:16:48",https://api.untappd.com/c/1015841335,https://api.untappd.com/beer/4164560,https://api.untappd.com/brewery/447453,"United States",Brooklyn,NY,,,Can,1015841335,4164560,447453,https://untappd.s3.amazonaws.com/photos/2021_04_10/a8581ee43003994276006bf36552d3dc_raw.jpg,3.81,3.76,,0,0
"I Must Be Dreaming (Prickly Pear and Passionfruit)","Timber Ales","Sour - Fruited",6,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.5,"2021-04-11 10:42:33",https://api.untappd.com/c/1016059858,https://api.untappd.com/beer/3988067,https://api.untappd.com/brewery/396873,"United States","New York",NY,sour,,Can,1016059858,3988067,396873,,4.11,4.07,,0,0
"I WISH IT HAD SNOWED LESS THIS WINTER","Evil Twin Brewing NYC","IPA - Triple New England / Hazy",10.5,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4,"2021-04-11 10:43:02",https://api.untappd.com/c/1016059983,https://api.untappd.com/beer/4223522,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,1016059983,4223522,420055,,4.19,3.95,,0,0
"Down Low Too Slow","NS Beer","IPA - New England / Hazy",7,0,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,2.75,"2021-04-12 13:15:41",https://api.untappd.com/c/1016410927,https://api.untappd.com/beer/4135587,https://api.untappd.com/brewery/447453,"United States",Brooklyn,NY,,,Can,1016410927,4135587,447453,https://untappd.s3.amazonaws.com/photos/2021_04_12/afb33f22b8bc1c92f929dd0beeeb993b_raw.jpg,3.59,3.64,,0,0
Tesseract,"Grimm Artisanal Ales","IPA - Imperial / Double New England / Hazy",8,77,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.5,"2021-04-12 13:15:54",https://api.untappd.com/c/1016410962,https://api.untappd.com/beer/969567,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,Can,1016410962,969567,72844,,4.24,4.24,,0,0
"Second Fiddle","Fiddlehead Brewing Company","IPA - Imperial / Double",8.2,80,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4.25,"2021-04-14 08:36:39",https://api.untappd.com/c/1016734175,https://api.untappd.com/beer/408264,https://api.untappd.com/brewery/18518,"United States",Shelburne,VT,,,Can,1016734175,408264,18518,,4.25,4.25,,0,0
"Après Vous","Zero Gravity Craft Brewery","Farmhouse Ale - Saison",8.3,15,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,4.75,"2021-04-14 08:37:04",https://api.untappd.com/c/1016734192,https://api.untappd.com/beer/3081080,https://api.untappd.com/brewery/4263,"United States",Burlington,VT,"fruity,smooth",,Bottle,1016734192,3081080,4263,,3.98,3.88,,0,0
"Pulp Art","Brooklyn Brewery","IPA - New England / Hazy",6,35,,,,,,,,3.5,"2021-04-16 08:33:42",https://api.untappd.com/c/1017227191,https://api.untappd.com/beer/4149620,https://api.untappd.com/brewery/259,"United States",Brooklyn,NY,,,Can,1017227191,4149620,259,,3.58,3.58,,0,0
"Red Rover","Four Quarters Brewing","Farmhouse Ale - Bière de Mars",5.6,0,,,,,,,,4.25,"2021-04-16 08:33:54",https://api.untappd.com/c/1017227212,https://api.untappd.com/beer/3244753,https://api.untappd.com/brewery/115672,"United States",Winooski,VT,,,Can,1017227212,3244753,115672,,3.72,3.72,,0,0
"SOUR BIKINI NYC VERSION","Evil Twin Brewing NYC","IPA - Sour",4,0,,,,,,,,3.75,"2021-04-18 09:17:05",https://api.untappd.com/c/1018474289,https://api.untappd.com/beer/4224226,https://api.untappd.com/brewery/420055,"United States",Ridgewood,NY,,,Can,1018474289,4224226,420055,,3.83,3.74,,0,0
"Money's Spent","Finback Brewery","IPA - Imperial / Double",8.5,0,,,,,,,,3.75,"2021-04-18 09:18:10",https://api.untappd.com/c/1018474555,https://api.untappd.com/beer/4249570,https://api.untappd.com/brewery/52099,"United States",Queens,NY,,,Can,1018474555,4249570,52099,https://untappd.s3.amazonaws.com/photos/2021_04_18/aae48c40cecea7a9a234cbd40958afa8_raw.jpeg,4.21,4.13,,0,0
"RASPBERRY LIME CRUSH","TALEA Beer Co.","Sour - Fruited Gose",5.2,0,,"Astoria Bier & Cheese",Astoria,NY,"United States",40.7606,-73.9225,4.25,"2021-04-18 17:07:19",https://api.untappd.com/c/1018694190,https://api.untappd.com/beer/4211807,https://api.untappd.com/brewery/428134,"United States","Kings County",NY,"tart,lime,puckering",,Draft,1018694190,4211807,428134,https://untappd.s3.amazonaws.com/photos/2021_04_18/cc1c4283d619c042af7bc5511b6ce013_raw.jpg,3.91,3.81,,1,0
